"sector27","year","hours","informal_emp_per","edu_yrs","LSH_VA","VA_per_worker","raw_APG","hours_adj","LSH_adj","Hcap_adj","correct_APG"
"chemicals",2019,2287.79729671319,12.4368572235107,10.9978652000427,0.225302017241996,1168497.12578387,13.4698761693118,1.97063000597891,2.48907264036649,1.5049381665097,1.82474542872281
"chemicals",2020,2287.79729671319,12.6546134948731,11.0259962081909,0.22100134483136,1269909.54059619,15.2048826323647,1.97063000597891,2.53028487205146,1.50577261272155,2.02511256366939
"chemicals",2021,2287.79729671319,12.8723697662354,11.0541272163391,0.224871966433141,1474350.45415534,16.864588931685,1.97063000597891,2.50019424110528,1.50660752161053,2.27193962821961
"chemicals",2022,2287.79729671319,13.0901260375977,11.0822582244873,0.235049513789241,1307240.09590939,14.5569263642042,1.97063000597891,2.40229478010492,1.50744289343319,2.03984621730745
"construction",1999,1530.71861225757,84.7732391357422,3.59522080421448,0.795102323344662,153512.901053535,3.46135991472491,1.28406082316792,0.704460918371596,1.07888360188833,3.54674256701502
"construction",2000,1530.71861225757,84.2904174804688,3.71774549484253,0.790941966981552,150796.061087675,3.437787363965,1.28406082316792,0.701994157713267,1.07717562385466,3.54057175524444
"construction",2001,1530.71861225757,83.8075958251953,3.84027018547058,0.778539252954252,144975.253728327,3.16361928646607,1.28406082316792,0.709606424220952,1.07547034971691,3.22836506098534
"construction",2002,1530.71861225757,83.3247741699219,3.96279487609864,0.783726147945593,145003.733448145,3.43830418975408,1.28406082316792,0.699652402002131,1.07376777519454,3.56423232785259
"construction",2003,1530.71861225757,82.8419525146485,4.08531956672669,0.792497677977914,150447.508442129,3.32046338352022,1.28406082316792,0.695729754269296,1.0720678960138,3.46697117995353
"construction",2004,1530.71861225757,82.359130859375,4.20784425735474,0.801767003608904,161381.32387441,3.60916556443197,1.28406082316792,0.680185818199138,1.07037070790769,3.86064102155319
"construction",2005,1487.99489221725,81.8260138375419,4.27184070859637,0.76937398612703,167059.797593772,3.52144103281354,1.25289774916873,0.713779308844344,1.0651246261069,3.69692305134579
